"","species","chemical","formula","iupac"
"72","Abies balsamea","methicillin","C17H20N2O6S","(2R,5R,6S)-6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
"73","Abies balsamea","methicillin","C17H20N2O6S","(6R)-6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
"74","Abies balsamea","methicillin","C17H20N2O6S","(2S,5R,6S)-6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
"75","Abies balsamea","methicillin","C17H19N2O6S-","(2S,5R,6R)-6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate"
"76","Abies balsamea","methicillin","C17H22N2O6S","(2R,4S)-2-[(1R)-1-[(2,6-dimethoxybenzoyl)amino]-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid"
"77","Abies balsamea","methicillin","C10H8O2S2","2-hydroxy-1,2-dithiophen-2-ylethanone"
"78","Abies balsamea","monoterpene","C10H16","4-methylidene-1-propan-2-ylbicyclo[3.1.0]hexane"
"79","Abies balsamea","monoterpene","C10H18O","(2E)-3,7-dimethylocta-2,6-dien-1-ol"
"80","Abies balsamea","sesquiterpenes","C15H18O3","(3R,3aS,5aR,9bR)-3,5a,9-trimethyl-3a,4,5,9b-tetrahydro-3H-benzo[g][1]benzofuran-2,8-dione"
"81","Abies balsamea","isopimaric acid","C20H30O2","(1R,4aR,4bS,7S,10aR)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid"
"82","Abies balsamea","isopimaric acid","C20H30O2","(1R,4aR,7S)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid"
"83","Abies balsamea","isopimaric acid","C20H30O2","7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid"
"84","Abies balsamea","isopimaric acid","C20H30O2","(1R,4aR)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid"
"85","Abies balsamea","isopimaric acid","C20H30O2","(1R,4aR,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid"
"86","Abies balsamea","isopimaric acid","C20H29O2-","(1R,4aR,4bS,7S)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylate"
"87","Abies balsamea","isopimaric acid","C20H30O2","(1S,4aS,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid"
"88","Abies balsamea","levopimaric acid","C20H30O2","(1R,4aR,4bS,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,9,10,10a-octahydrophenanthrene-1-carboxylic acid"
"89","Abies balsamea","levopimaric acid","C20H30O2","1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,9,10,10a-octahydrophenanthrene-1-carboxylic acid"
"90","Abies balsamea","levopimaric acid","C20H30O2","(1R,4aR,4bS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,9,10,10a-octahydrophenanthrene-1-carboxylic acid"
"91","Abies balsamea","levopimaric acid","C20H29O2-","(1R,4aR,4bS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,9,10,10a-octahydrophenanthrene-1-carboxylate"
"92","Abies balsamea","levopimaric acid","C20H30O2","methyl (1R,4aS,4bR)-4a-methyl-7-propan-2-yl-2,3,4,4b,5,9,10,10a-octahydro-1H-phenanthrene-1-carboxylate"
"93","Abies balsamea","rubidium chloride","ClRb","rubidium(1+);chloride"
"95","Abies balsamea","ethylene","C2H4","ethene"
"96","Abies balsamea","ethylene","C2H4","1,2-dideuterioethene"
"97","Abies balsamea","ethylene","C12H3F21","3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododec-1-ene"
"98","Abies balsamea","carotenoid","C40H56","1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-[(1R)-2,6,6-trimethylcyclohex-2-en-1-yl]octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene"
"99","Abies balsamea","carotenoid","C46H90O6","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(6S,10S,14R,23R)-2,6,10,14,19,23,27,31-octamethyldotriacont-30-en-2-yl]oxyoxane-3,4,5-triol"
"100","Abies balsamea","carotenoid","C40H56O2","4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-(4-hydroxy-2,6,6-trimethylcyclohex-2-en-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
