"","species","chemical","formula","iupac"
"427","Abies balsamea","triterpenoid","C37H56O3","benzyl (1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylate"
"428","Abies balsamea","triterpenoid","C35H56O6","(1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-(4-carboxybutanoyloxy)-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"429","Abies balsamea","triterpenoid","C34H54O6","(1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-(3-carboxypropanoyloxy)-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"430","Abies balsamea","triterpenoid","C40H62O6","(1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-9-(4,7,7-trimethyl-3-oxo-2-oxabicyclo[2.2.1]heptane-1-carbonyl)oxy-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"431","Abies balsamea","triterpenoid","C35H58O4","(1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-9-(3-methylbutanoyloxy)-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"432","Abies balsamea","triterpenoid","C35H58O4","(1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-(2,2-dimethylpropanoyloxy)-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"433","Abies balsamea","triterpenoid","C50H70O11","(3,4,5-trimethoxybenzoyl) (1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-9-(3,4,5-trimethoxybenzoyl)oxy-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylate"
"434","Abies balsamea","triterpenoid","C43H64O6","4-[[(1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-3a-phenylmethoxycarbonyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid"
"435","Abies balsamea","triterpenoid","C42H62O6","5-[[(1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-3a-phenylmethoxycarbonyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-9-yl]oxy]-5-oxopentanoic acid"
"436","Abies balsamea","triterpenoid","C33H55NO4","dimethylcarbamoyl (1S,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylate"
"437","Abies balsamea","triterpenoid","C30H48O3","(1S,3aS,5aR,5bR,7aR,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-9-oxo-1-propan-2-yl-2,3,4,5,6,7,7a,10,11,11b,12,13,13a,13b-tetradecahydro-1H-cyclopenta[a]chrysene-3a-carboxylic acid"
"438","Abies balsamea","triterpenoid","C33H53NO4","dimethylcarbamoyl (1S,3aS,5aR,5bR,7aR,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-9-oxo-1-propan-2-yl-2,3,4,5,6,7,7a,10,11,11b,12,13,13a,13b-tetradecahydro-1H-cyclopenta[a]chrysene-3a-carboxylate"
"439","Abies balsamea","triterpenoid","C35H54O6","(1S,2R,4aS,6aS,6bR,10S,12aR)-10-(4-carboxybutanoyloxy)-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid"
"440","Abies balsamea","triterpenoid","C37H58O6","5-O-[(3S,6aR,6bS,8aS,11R,12S,14bR)-8a-methoxycarbonyl-4,4,6a,6b,11,12,14b-heptamethyl-2,3,4a,5,6,7,8,9,10,11,12,12a,14,14a-tetradecahydro-1H-picen-3-yl] 1-O-methyl pentanedioate"
"441","Abies balsamea","triterpenoid","C32H48O6","(1R,3aS,5aR,5bR,9S,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-9-oxalooxy-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"442","Abies balsamea","triterpenoid","C33H50O6","(1R,3aS,5aR,5bR,9S,11aR,11bR,13aR,13bR)-9-(2-carboxyacetyl)oxy-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"443","Abies balsamea","triterpenoid","C35H54O6","(1R,3aS,5aR,5bR,9S,11aR,11bR,13aR,13bR)-9-(4-methoxy-4-oxobutanoyl)oxy-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"444","Abies balsamea","triterpenoid","C30H50O3","(1S,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
"445","Abies balsamea","abiesonic acid","C29H40O5","(E)-6-[(1'S,3S,6R,7S,7aS)-7-(3-methoxy-3-oxopropyl)-1'-methyl-3'-methylidene-6-prop-1-en-2-ylspiro[1,2,5,6,7,7a-hexahydroindene-3,2'-cyclopentane]-1'-yl]-2-methyl-4-oxohex-2-enoic acid"
"446","Abies balsamea","srl","C24H42O7P2","4-[2,2-bis(diethoxyphosphoryl)ethenyl]-2,6-ditert-butylphenol"
"447","Abies balsamea","srl","C24H44O7P2","4-[2,2-bis(diethoxyphosphoryl)ethyl]-2,6-ditert-butylphenol"
"448","Abies balsamea","srl","Al6B3Fe3H4NaO31Si6","hexaaluminum;sodium;2,2,4,4,6,6,8,8,10,10,12,12-dodecaoxido-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclododecane;iron(2+);triborate;tetrahydroxide"
"449","Abies balsamea","glycogen","C24H42O21","(2S,3R,4S,5S,6R)-2-[[(2R,3S,4R,5R,6R)-4,5-dihydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
"450","Abies balsamea","glycogen","C24H42O21","2-[[4,5-dihydroxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
"451","Abies balsamea","glycogen","C24H42O21","(2S,3S,4S,5S,6R)-2-[[(2R,4R,5R,6R)-4,5-dihydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[(2R,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
"452","Abies balsamea","glycogen","C24H42O21","(2R,3S,4R,5R,6S)-2-[[(2S,3R,4S,5S,6S)-4,5-dihydroxy-3-[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[(2S,3R,4S,5S,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
"454","Abies balsamea","polyethylene","C2H4","deuterioethene"
"455","Abies balsamea","polyethylene","C2H4","1,1,2-trideuterioethene"
"456","Abies balsamea","polyethylene","C2H4","1,1-dideuterioethene"
"457","Abies balsamea","polyethylene","C2H4","(111C)ethene"
"458","Abies balsamea","polyethylene","C2H4","1,1,2,2-tetradeuterioethene"
"459","Abies balsamea","polyethylene","C18H16Cl3N3O4","1-[2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole;nitric acid"
"461","Abies balsamea","ros","C17H14N2O3","1-ethyl-4-oxo-7-pyridin-4-ylquinoline-3-carboxylic acid"
"462","Abies balsamea","ros","C23H23N2O+","[6-(dimethylamino)-9-phenylxanthen-3-ylidene]-dimethylazanium"
"463","Abies balsamea","ros","C22H28FN3O6S","(E,3R,5S)-7-[4-(4-fluorophenyl)-2-[methyl(methylsulfonyl)amino]-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"
"464","Abies balsamea","beta-myrcene","C10H16","7-methyl-3-methylideneocta-1,6-diene"
"465","Abies balsamea","beta-myrcene","C10H18","(6E)-2,6-dimethylocta-2,6-diene"
"466","Abies balsamea","diphosphate","O7P2-4","phosphonato phosphate"
"467","Abies balsamea","diphosphate","HO7P2-3","[hydroxy(oxido)phosphoryl] phosphate"
"468","Abies balsamea","diphosphate","H4O7P2","phosphono dihydrogen phosphate"
"469","Abies balsamea","diphosphate","H3O6P2+","hydroxy-oxo-phosphonooxyphosphanium"
"470","Abies balsamea","diphosphate","O8P2-4","phosphonatooxy phosphate"
"471","Abies balsamea","diphosphate","C14H30O6P2","2-[1-di(propan-2-yloxy)phosphorylethenyl-propan-2-yloxyphosphoryl]oxypropane"
"472","Abies balsamea","diphosphate","C22H33N4O20P3","[(2R,3R,4S,5S)-3,4-dihydroxy-5-[[3-hydroxy-2-methyl-5-(phosphonooxymethyl)pyridin-4-yl]methylamino]oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate"
"473","Abies balsamea","diphosphate","C23H40N7O17P3S2","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(3R)-3-hydroxy-4-[[3-[2-(2-hydroxyethyldisulfanyl)ethylamino]-3-oxopropyl]amino]-2,2-dimethyl-4-oxobutyl] hydrogen phosphate"
"474","Abies balsamea","diphosphate","C17H28N4O15P2","[(2R,3R,4S,5R,6S)-3-acetamido-5-amino-4-hydroxy-6-methyloxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate"
"475","Abies balsamea","diphosphate","C27H31N9O16P2","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4S)-5-(8-formyl-7-methyl-2,4-dioxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] hydrogen phosphate"
"476","Abies balsamea","diphosphate","C24H40N7O17P3S","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-[2-(2-oxopropylsulfanyl)ethylamino]propyl]amino]butyl] hydrogen phosphate"
"477","Abies balsamea","diphosphate","C14H22N4O9P2S","2-[(2E)-3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-2-(1,2-dihydroxyethylidene)-4-methyl-1,3-thiazol-5-yl]ethyl phosphono hydrogen phosphate"
"478","Abies balsamea","diphosphate","C12H18N4O8P2S","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-2-oxo-1,3-thiazol-5-yl]ethyl phosphono hydrogen phosphate"
"479","Abies balsamea","isopimaradiene","C20H32","(2S,4aS,4bS,8aS)-2-ethenyl-2,4b,8,8-tetramethyl-3,4,4a,5,6,7,8a,9-octahydro-1H-phenanthrene"
"480","Abies balsamea","isopimaradiene","C20H32","2-ethenyl-2,4b,8,8-tetramethyl-3,4,4a,5,6,7,8a,9-octahydro-1H-phenanthrene"
"481","Abies balsamea","isopimaradiene","C20H32","(2R,4bS)-2-ethenyl-2,4b,8,8-tetramethyl-3,4,4a,5,6,7,8a,9-octahydro-1H-phenanthrene"
"482","Abies balsamea","levopimaradiene","C20H32","(4aS,4bS,10aS)-1,1,4a-trimethyl-7-propan-2-yl-2,3,4,4b,5,9,10,10a-octahydrophenanthrene"
"483","Abies balsamea","abietadiene","C20H32","(4aS,4bR,10aS)-1,1,4a-trimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene"
"484","Abies balsamea","abietadiene","C20H32","(4aS,4bR)-8-deuterio-7-[(2S)-1-deuteriopropan-2-yl]-1,1,4a-trimethyl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene"
"485","Abies balsamea","abietadiene","C20H32","(4aR,4bS,10aR)-1,1,4a-trimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene"
"486","Abies balsamea","testosterone","C19H28O2","(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"487","Abies balsamea","testosterone","C19H28O2","17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"488","Abies balsamea","testosterone","C19H28O2","(10R,13S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"489","Abies balsamea","testosterone","C19H28O2","(17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"491","Abies balsamea","testosterone","C19H28O2","(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,4,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"492","Abies balsamea","testosterone","C19H30O2","(8R,9S,10R,13S,14S,17S)-10,13-dimethyl-2,3,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,17-diol"
"493","Abies balsamea","testosterone","C19H28O2","(8R,9S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"494","Abies balsamea","testosterone","C22H32O3","[(8R,9S,10R,13S,14S,17S)-10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl] propanoate"
"495","Abies balsamea","testosterone","C10H25O5P","8-methylnonan-1-ol;phosphoric acid"
"496","Abies balsamea","testosterone","C19H32O2","(5S,8R,9S,10S,13S,14S,17S)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,17-diol"
"497","Abies balsamea","testosterone","C19H28O2","(8R,9R,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"498","Abies balsamea","testosterone","C19H26O2","(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-one"
"499","Abies balsamea","testosterone","C19H28O2","(8R,9S,10R,13S,14S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
"500","Abies balsamea","testosterone","C19H26O2","(8S,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-one"
"501","Abies balsamea","dibenzylfluorescein","C34H24O5","benzyl 2-(3-oxo-6-phenylmethoxyxanthen-9-yl)benzoate"
"502","Abies balsamea","dibenzylfluorescein","C34H24O5","1',2'-dibenzyl-3',6'-dihydroxyspiro[2-benzofuran-3,9'-xanthene]-1-one"
"503","Abies balsamea","dibenzylfluorescein","C34H24O5","3',6'-bis(phenylmethoxy)spiro[2-benzofuran-3,9'-xanthene]-1-one"
"504","Abies balsamea","dbf","C12H8O","dibenzofuran"
"505","Abies balsamea","dbf","C14H8O5","dibenzofuran-4,6-dicarboxylic acid"
"506","Abies balsamea","dbf","C25H32ClNO3","1-[3-[(6-methoxy-2-phenyl-1-benzofuran-3-yl)oxymethyl]pentan-3-yl]pyrrolidin-1-ium;chloride"
"508","Abies balsamea","dbf","C9H19NO","N,N-dibutylformamide"
"509","Abies balsamea","nadph","C21H30N7O17P3","[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate"
"510","Abies balsamea","nadph","C45H82N11O17P3","[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate;cyclohexanamine"
"511","Abies balsamea","nadph","C21H26N7O17P3-4","[(2R,3R,4R,5R)-2-(6-aminopurin-9-yl)-5-[[[[(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-4-hydroxyoxolan-3-yl] phosphate"
"512","Abies balsamea","nadph","C21H30N7O17P3","[[(2S,3S,4S,5S)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2S,3R,4S,5S)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate"
"513","Abies balsamea","nadph","C21H30N7O17P3","[[5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate"
"514","Abies balsamea","nadph","C21H28N7O17P3","[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2S,3R,4S,5S)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate"
"515","Abies balsamea","nadph","C21H26N7Na4O17P3","tetrasodium;[(2R,3R,4R,5R)-2-(6-aminopurin-9-yl)-5-[[[[(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-4-hydroxyoxolan-3-yl] phosphate"
"516","Abies balsamea","nadph","C21H28N7O17P3","[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate"
"517","Abies balsamea","nadph","C21H30N7O17P3","[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4,4-dideuteriopyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate"
"518","Abies balsamea","nadph","C21H30N7O17P3","[[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate"
"519","Abies balsamea","nadph","C21H30N7O17P3","[[(2S,3R,4S,5S)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2S,3R,4S,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate"
"520","Abies balsamea","nadph","C21H26N7Na4O17P3","tetrasodium;[2-(6-aminopurin-9-yl)-5-[[[[5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-4-hydroxyoxolan-3-yl] phosphate"
"521","Abies balsamea","chlorophyll","C55H72MgN4O5","magnesium;16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-22-[3-oxo-3-(3,7,11,15-tetramethylhexadec-2-enoxy)propyl]-23,24,25-triaza-7-azanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18(24),19-undecaen-4-olate"
"522","Abies balsamea","chlorophyll","C55H72MgN4O5","magnesium;(3R,21S,22S)-16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,24,25-triaza-7-azanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18(24),19-undecaen-4-olate"
"523","Abies balsamea","chlorophyll","C55H72MgN4O5","magnesium;methyl (3R,21S,22S)-16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diaza-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23)-decaene-3-carboxylate"
"524","Abies balsamea","chlorophyll","C55H72MgN4O5","magnesium;methyl (3R,21S,22S)-16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diaza-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23)-decaene-3-carboxylate"
"525","Abies balsamea","chlorophyll","C55H73MgN4O5+","magnesium;(3R,21S,22S)-16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-7,23,24,25-tetrazahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,4,6,8(26),9,11,13(25),14,16,18(24),19-undecaen-4-olate"
"526","Abies balsamea","chlorophyll","C55H72MgN4O5","magnesium;(3R,21S,22S)-16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,24,25-triaza-7-azanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18(24),19-undecaen-4-olate"
"527","Abies balsamea","chlorophyll","C55H74MgN4O5+2","magnesium;methyl (3R,22S)-16-ethenyl-11-ethyl-4-hydroxy-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diazonia-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18,20-undecaene-3-carboxylate"
"528","Abies balsamea","chlorophyll","C55H72MgN4O5","magnesium;16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,24,25-triaza-7-azanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18(24),19-undecaen-4-olate"
"529","Abies balsamea","chlorophyll","C54H72MgN4O5","magnesium;methyl 16-ethenyl-11-ethyl-12,17,26-trimethyl-4-oxo-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-7,24-diaza-23,25-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5(26),6,8,10,12,14,18(24),19-nonaene-3-carboxylate"
"530","Abies balsamea","chlorophyll","C55H78MgN4O5","magnesium;methyl (1Z,8Z,14Z,18Z)-16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23-azonia-7,24,25-triazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5(26),8,14,16,18,20(23)-heptaene-3-carboxylate"
"531","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"532","Abies balsamea","zeaxanthin","C40H56O2","4-[18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"533","Abies balsamea","zeaxanthin","C40H56O2","4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
