"","species","chemical","frequency","pmid"
"135","Calamagrostis canadensis","mg",2,"28306929, 28309101"
"136","Calamagrostis canadensis","calcium",2,"28306929, 28309101"
"137","Calamagrostis canadensis","p",2,"28309101"
"138","Calamagrostis canadensis","sodium",1,"28309101"
"139","Carex aquatilis","sodium",4,"34451556"
"140","Carex aquatilis","carbon",4,"34323820, 28117165, 15644893"
"141","Carex aquatilis","mg",1,"33385841"
"142","Carex aquatilis","as",2,"33385841"
"143","Carex aquatilis","cd",2,"33385841"
"144","Carex aquatilis","ti",1,"33385841"
"145","Carex aquatilis","al",1,"33385841"
"146","Carex aquatilis","cr",1,"33385841"
"147","Carex aquatilis","cu",1,"33385841"
"148","Carex aquatilis","fe",1,"33385841"
"149","Carex aquatilis","ga",1,"33385841"
"150","Carex aquatilis","zr",1,"33385841"
"151","Carex aquatilis","ba",1,"33385841"
"152","Carex aquatilis","zn",1,"33385841"
"153","Carex aquatilis","pb",1,"33385841"
"154","Carex aquatilis","sulfur",1,"28117165"
"155","Carex aquatilis","pm",1,"24694323"
"156","Carex aquatilis","nitrogen",8,"1622225, 16345594, 28309698"
"157","Carex aquatilis","phosphorus",10,"1622225, 16345594, 28309698"
"158","Carex aquatilis","oxygen",2,"16345594"
